canton_id,region,prefecture,commune,canton,couverture_mobile_pct,mm_1km_pct,togocom_5km_pct,habitants_par_mm,marches_5km_habitants,ecoles_15km_habitants,marches_nb,postes_nb,n_banques,n_mfi,n_poste,n_distributeurs
B10056162,Plateaux,Moyen-Mono,Moyen-Mono 1,Tohoun,100,85.72,91.3,743,17481,19311,1,1,0,1,1,1
B10056163,Plateaux,Moyen-Mono,Moyen-Mono 1,Tado,100,62.39,0,2157,14852,19060,2,0,0,2,0,0
B10056164,Plateaux,Moyen-Mono,Moyen-Mono 1,Ahassomè,100,15.71,0,1241,4817,4784,1,0,0,0,0,0
B10057165,Plateaux,Moyen-Mono,Moyen-Mono 2,Katomé,100,64.42,0,2051,6150,8164,0,0,0,0,0,0
B10057166,Plateaux,Moyen-Mono,Moyen-Mono 2,Kpékplémé,100,89.51,0,751,18225,20268,2,0,1,2,0,0
B10057167,Plateaux,Moyen-Mono,Moyen-Mono 2,Saligbé,100,78.99,0,1398,11332,15344,1,0,0,0,0,0
B11058168,Plateaux,Ogou,Ogou 1,Houdou,100,35.7,1.22,974,12271,12635,2,0,0,0,0,0
B11058169,Plateaux,Ogou,Ogou 1,Djama,100,58.92,0,2225,67455,66430,8,2,3,3,2,2
B11058170,Plateaux,Ogou,Ogou 1,Gnagna,100,57.31,0,182,40672,40652,3,0,5,2,0,4
B11059171,Plateaux,Ogou,Ogou 2,Katoré,59.37,72.96,0,333,6723,6433,4,0,0,0,0,0
B11059172,Plateaux,Ogou,Ogou 2,Datcha,100,65.44,0,2131,15561,15658,2,0,0,1,0,0
B11059173,Plateaux,Ogou,Ogou 2,Akparé,91.04,49.23,0,762,10075,9959,3,0,0,2,0,0
B11060174,Plateaux,Ogou,Ogou 3,Gléi,98.06,46.55,51.44,502,23986,39396,1,1,0,3,1,0
B11061175,Plateaux,Ogou,Ogou 4,Ountivou,86.43,38.18,0,1078,19850,18942,4,0,0,2,0,0
B12063180,Plateaux,Wawa,Wawa 2,Gbadi-N'kougna,100,63.17,0,383,3367,4561,1,0,0,0,0,0
B12063181,Plateaux,Wawa,Wawa 2,Ekéto,100,18.04,0,4058,1640,3518,0,0,0,0,0,0
B12063182,Plateaux,Wawa,Wawa 2,Gobé,100,30.14,0,636,1272,1133,1,0,0,0,0,0
B12062176,Plateaux,Wawa,Wawa 1,Kpété-Béna,100,64.53,0,432,11013,11501,3,0,0,0,0,0
B12062177,Plateaux,Wawa,Wawa 1,Tomégbé,100,62.94,0,376,4295,9828,1,0,0,0,0,0
B12062178,Plateaux,Wawa,Wawa 1,Badou,100,83.12,0,242,20762,20971,2,1,1,3,1,1
B12062179,Plateaux,Wawa,Wawa 1,Késsibo,100,73.48,0,505,8138,10304,1,0,0,0,0,0
B12064183,Plateaux,Wawa,Wawa 3,Klabé-Efoukpa,100,55.81,0,459,9305,10176,1,0,0,0,0,0
B12064184,Plateaux,Wawa,Wawa 3,Ounabé,100,90.44,0,871,242,4168,0,0,0,0,0,0
B12064185,Plateaux,Wawa,Wawa 3,Okou,100,42.39,0,1796,6700,8086,1,0,0,0,0,0
B12064186,Plateaux,Wawa,Wawa 3,Doumé,100,73.4,0,325,4095,4069,2,0,0,0,0,0
C01067198,Centrale,Blitta,Blitta 3,Tintchro,0,0,0,,1725,1633,3,0,0,0,0,0
C01067199,Centrale,Blitta,Blitta 3,Welly,2.42,13.33,0,4708,7688,6782,8,0,0,0,0,0
C01067200,Centrale,Blitta,Blitta 3,Pagala-Village,85.32,0,0,,2239,1916,1,0,0,0,0,0
C01067201,Centrale,Blitta,Blitta 3,Tchifama,4.83,0,0,,2577,2166,1,0,0,0,0,0
C01067204,Centrale,Blitta,Blitta 3,Yégué,0,0,0,,1164,1141,2,0,0,0,0,0
C01067202,Centrale,Blitta,Blitta 3,Atchintsè,0,43.25,0,3666,3090,3043,2,0,0,0,0,0
C01067203,Centrale,Blitta,Blitta 3,Diguengué,0,0,0,,59,727,0,0,0,0,0,0
C01067205,Centrale,Blitta,Blitta 3,Dikpéléou,0,0,0,,998,987,1,0,0,0,0,0
C01067206,Centrale,Blitta,Blitta 3,Katchenkè,0,0,0,,1428,1332,2,0,0,0,0,0
C01067207,Centrale,Blitta,Blitta 3,M'Poti,10.91,40.49,0,1088,2852,2804,2,0,0,0,0,0
C01065187,Centrale,Blitta,Blitta 1,Pagala-Gare,90.88,67.53,0,1058,17680,17346,9,1,1,3,1,0
C01065188,Centrale,Blitta,Blitta 1,Waragni,100,64.84,0.16,336,2349,2294,2,0,0,0,0,0
C01065189,Centrale,Blitta,Blitta 1,Blitta-Village,100,87.42,99.43,6202,80611,79536,4,0,0,0,0,0
C01065190,Centrale,Blitta,Blitta 1,Blitta,100,70.56,92.31,12288,98303,95351,5,1,2,2,1,1
C01065191,Centrale,Blitta,Blitta 1,Yaloumbè,100,83.29,0,148,2966,2749,3,0,0,0,0,0
C01065192,Centrale,Blitta,Blitta 1,Tchaloudè,82.01,56.72,0,621,5109,5351,3,0,0,0,0,0
C01065193,Centrale,Blitta,Blitta 1,Doufouli,100,0,0,,1593,1486,1,0,0,0,0,0
C01066194,Centrale,Blitta,Blitta 2,Tcharè-Baou,64.78,29.61,0,2095,6247,7591,2,0,0,0,0,0
C01066195,Centrale,Blitta,Blitta 2,Koffiti,100,3.33,0,,4605,5232,2,0,0,0,0,0
C01066196,Centrale,Blitta,Blitta 2,Langabou,81.47,0.09,0,,8824,9804,2,0,0,0,0,0
C01066197,Centrale,Blitta,Blitta 2,Agbandi,71,35.62,0,1309,6291,5361,4,1,0,2,1,0
C02068208,Centrale,Mô,Mô 1,Kagnigbara,0,23.08,0,95,165,173,2,0,0,0,0,0
C02068209,Centrale,Mô,Mô 1,Boulohou,0,76.47,0,125,341,1002,3,0,0,0,0,0
C02068210,Centrale,Mô,Mô 1,Djarkpanga,0,64.94,0,165,1776,2126,2,1,1,1,1,0
C02069211,Centrale,Mô,Mô 2,Saïboudè,0,45.51,0,1266,1619,2360,2,0,0,0,0,0
C02069212,Centrale,Mô,Mô 2,Tindjasse,0,43.56,0,433,1835,1861,2,0,0,1,0,0
C03070213,Centrale,Sotouboua,Sotouboua 1,Tabindè,27.15,16.9,0,2791,5340,4860,6,0,0,0,0,0
C03070214,Centrale,Sotouboua,Sotouboua 1,Sotouboua,12.31,73.21,77.66,159,20051,21141,7,1,4,7,1,3
C03070215,Centrale,Sotouboua,Sotouboua 1,Kaniamboua,0,86.26,2.29,180,1402,1340,0,0,0,0,0,0
C03071216,Centrale,Sotouboua,Sotouboua 2,Séssaro,0,23.21,0,1431,8488,7040,7,0,0,0,0,0
C03071217,Centrale,Sotouboua,Sotouboua 2,Tittigbe,0,40.33,0,580,6379,5953,6,0,0,0,0,0
C03071218,Centrale,Sotouboua,Sotouboua 2,Aouda,0,29.44,0,407,10711,9617,4,0,0,0,0,0
C03071219,Centrale,Sotouboua,Sotouboua 2,Adjengré,0,83,0,143,8875,8798,5,1,1,3,1,1
C03071220,Centrale,Sotouboua,Sotouboua 2,Fazao,0,0,0,,0,7,0,0,0,0,0,0
C03072221,Centrale,Sotouboua,Sotouboua 3,Kazaboua,80.05,32.6,0,359,2661,4770,3,0,0,0,0,0
C03072222,Centrale,Sotouboua,Sotouboua 3,Bodjondè,100,61.26,0,302,1787,1538,2,0,0,0,0,0
C03072223,Centrale,Sotouboua,Sotouboua 3,Tchébébé,99.56,79.07,0,175,13138,12356,4,0,0,3,0,0
C04073224,Centrale,Tchamba,Tchamba 1,Affem,0,28.98,0,2821,10130,8175,2,0,0,0,0,0
C04073225,Centrale,Tchamba,Tchamba 1,Alibi I,1.04,28.56,13.13,3417,9949,7712,4,0,0,0,0,0
C04073226,Centrale,Tchamba,Tchamba 1,Larini,0,64.88,84.03,6583,17667,17889,1,0,0,0,0,0
C04073227,Centrale,Tchamba,Tchamba 1,Kri-Kri,0,64.38,0,2340,3954,4007,2,0,0,0,0,0
